,time,temp,dwpt,rhum,prcp,wdir,wspd,pres
52,2022-12-17 14:00:00,14.917037,6.614392,69.72578,0.133668,171.86446,21.769007,1012.36237
53,2022-12-17 15:00:00,15.287249,6.387462,66.92573,0.14183876,171.09906,22.064278,1012.2332
54,2022-12-17 16:00:00,14.9432335,6.5053716,63.15147,0.06501575,169.80304,21.996744,1012.1768
55,2022-12-17 17:00:00,14.86601,6.422632,57.773003,0.0692913,172.01367,22.186125,1012.1617
56,2022-12-17 18:00:00,14.7518635,6.172674,52.613857,0.10040128,168.73015,22.36201,1011.97394
57,2022-12-17 19:00:00,14.3032055,6.305772,47.190617,0.11287665,171.94592,22.945395,1011.9502
58,2022-12-17 20:00:00,14.093166,6.435999,42.384247,-0.031872906,172.85693,22.572319,1011.97833
59,2022-12-17 21:00:00,13.487345,6.1988735,40.829716,0.15918405,172.14314,22.450932,1011.77527
60,2022-12-17 22:00:00,13.295275,6.077826,38.920177,0.07769271,174.02194,23.36688,1011.75714
61,2022-12-17 23:00:00,12.753652,6.0790935,38.547512,0.10719407,173.49837,23.830494,1012.2405
62,2022-12-18 00:00:00,12.653622,5.9499297,39.23666,0.20988436,177.64127,23.73192,1011.8266
63,2022-12-18 01:00:00,12.523766,6.2004957,41.657974,-0.0026014647,175.72832,24.420135,1011.6002
64,2022-12-18 02:00:00,12.478712,5.918157,44.72676,-0.04643577,177.21312,25.156502,1011.8106
65,2022-12-18 03:00:00,12.673605,5.771525,48.09689,0.019855311,177.38356,26.002289,1011.8337
66,2022-12-18 04:00:00,12.8080845,5.8000655,50.33027,0.09009465,180.65797,26.727055,1011.7609
67,2022-12-18 05:00:00,13.156064,5.8758507,53.391613,0.037452314,178.91068,27.889444,1011.56647
68,2022-12-18 06:00:00,13.445917,5.701948,57.125595,0.048601888,182.27829,28.89106,1011.8526
69,2022-12-18 07:00:00,13.901432,5.708927,61.75483,0.048359297,178.67162,29.660048,1011.8814
70,2022-12-18 08:00:00,14.183227,5.4161654,64.46314,0.032104306,181.33057,31.10088,1011.5879
71,2022-12-18 09:00:00,14.8470955,5.530067,69.42536,0.07498685,178.78256,30.922283,1011.84674
72,2022-12-18 10:00:00,15.135416,4.7410374,71.680954,0.039798528,182.10995,31.725538,1011.472
73,2022-12-18 11:00:00,15.753159,4.9933243,74.1833,0.028124457,181.58759,31.432215,1011.4917
74,2022-12-18 12:00:00,16.261694,4.938025,75.54919,0.025665268,184.12239,32.29676,1011.40765
75,2022-12-18 13:00:00,16.219135,5.0263276,77.62368,0.1709518,181.07422,31.932625,1011.67377
76,2022-12-18 14:00:00,16.505796,4.932833,74.952576,0.1179473,185.64174,32.057007,1011.13367
77,2022-12-18 15:00:00,16.316832,4.7452493,73.183975,-0.019731887,181.31291,31.494223,1011.602
78,2022-12-18 16:00:00,15.773951,4.6898074,69.47602,-0.061669078,189.52809,31.421661,1011.3645
79,2022-12-18 17:00:00,16.219675,4.8520513,64.94096,0.021629978,191.66557,30.765913,1011.3577
80,2022-12-18 18:00:00,15.830021,4.7751927,59.414867,0.23184115,192.99773,30.249805,1011.12976
81,2022-12-18 19:00:00,15.384343,4.857693,55.010033,0.0104600135,191.40836,29.683285,1011.214
82,2022-12-18 20:00:00,14.916992,4.695762,50.791737,0.054567203,188.82945,29.00402,1011.319
83,2022-12-18 21:00:00,14.672812,4.510524,48.417686,0.030961862,195.14203,28.195972,1010.90424
84,2022-12-18 22:00:00,14.506395,4.482958,46.4232,0.086173534,193.83502,28.615757,1010.88617
85,2022-12-18 23:00:00,13.724557,4.2817554,46.0979,0.054924447,192.89818,28.294825,1011.04456
86,2022-12-19 00:00:00,13.679731,4.1140766,46.611885,0.068371974,199.30879,27.820374,1010.9144
87,2022-12-19 01:00:00,12.966519,4.332267,49.74161,-0.027970819,198.52332,27.199057,1010.8973
88,2022-12-19 02:00:00,13.293163,3.9817936,52.8509,0.09179794,193.72627,28.026894,1010.8826
89,2022-12-19 03:00:00,12.745645,4.096067,55.897854,0.04728568,192.2592,27.17531,1011.28644
90,2022-12-19 04:00:00,13.910593,4.034163,58.82161,0.096054584,198.04865,27.670675,1010.71484
91,2022-12-19 05:00:00,13.302253,3.7263668,63.172153,0.10667652,198.20825,28.27166,1011.03467
92,2022-12-19 06:00:00,13.77272,3.777529,65.62105,0.08312999,199.2671,27.681763,1010.7718
93,2022-12-19 07:00:00,14.132794,3.689406,69.08026,0.0625785,196.75015,27.991165,1010.90875
94,2022-12-19 08:00:00,14.67222,3.6058052,71.89891,0.019519018,199.56735,28.669838,1010.7496
95,2022-12-19 09:00:00,15.182459,3.4855094,75.4416,-0.03581626,202.18524,27.98767,1010.73975
96,2022-12-19 10:00:00,15.639888,3.4793036,78.263954,-0.02859142,198.3736,27.530153,1010.7982
97,2022-12-19 11:00:00,16.357037,3.3849194,79.99606,0.077772014,197.68736,26.787737,1010.8073
98,2022-12-19 12:00:00,16.206947,3.3123763,81.202934,0.060000245,196.93806,26.929798,1011.17444
99,2022-12-19 13:00:00,16.269484,3.3220446,81.82815,0.11345885,201.17842,25.635433,1010.78174
100,2022-12-19 14:00:00,16.191196,3.342586,81.08858,0.19525602,200.35439,24.993946,1010.6531
101,2022-12-19 15:00:00,16.297268,3.3249087,78.059006,0.25915638,198.91533,24.123112,1010.67596
102,2022-12-19 16:00:00,16.273891,3.160437,74.603,0.1392637,196.9602,22.954313,1010.7343
103,2022-12-19 17:00:00,15.800306,3.024324,69.555824,0.15188871,196.9799,21.560167,1010.63574
104,2022-12-19 18:00:00,15.312181,3.4458323,64.739914,0.16447245,195.8521,19.948797,1010.5554
105,2022-12-19 19:00:00,14.931334,3.3522408,60.022083,0.19213916,195.74867,18.847715,1010.5722
106,2022-12-19 20:00:00,14.591125,3.2343857,55.239243,0.11079502,197.94432,17.924582,1010.74994
107,2022-12-19 21:00:00,14.00475,3.2508075,52.526257,0.23054178,197.50156,17.285603,1010.4568
108,2022-12-19 22:00:00,13.646152,3.3296463,50.432186,0.11999925,197.13751,16.909184,1010.7323
109,2022-12-19 23:00:00,13.030122,3.312342,50.111904,0.095441006,194.23322,16.057669,1010.59595
110,2022-12-20 00:00:00,12.525304,3.2366836,50.5489,0.16615683,194.2259,15.466539,1010.5207
111,2022-12-20 01:00:00,13.00268,3.1542656,54.10816,0.1529769,198.7535,15.231494,1010.62354
112,2022-12-20 02:00:00,12.345202,3.306893,56.366528,0.14044881,192.65256,15.067153,1010.98553
113,2022-12-20 03:00:00,12.334146,3.1167448,59.058163,0.04918909,192.76468,15.894782,1010.9656
114,2022-12-20 04:00:00,13.14227,3.217063,61.617775,0.15840633,194.5309,15.611722,1010.9903
115,2022-12-20 05:00:00,12.739017,3.2706301,65.30667,0.049342033,197.19969,16.02328,1010.91223
116,2022-12-20 06:00:00,13.008557,3.0412774,68.50864,0.020001758,195.85875,16.705072,1011.15533
117,2022-12-20 07:00:00,13.69066,3.2099314,70.84341,0.028690139,193.66814,16.906286,1011.25586
118,2022-12-20 08:00:00,13.941092,3.3901825,74.03603,0.077528335,192.22028,17.598492,1011.0726
119,2022-12-20 09:00:00,14.643195,3.2151527,75.658295,0.11394502,187.59494,17.508911,1010.7024
